Reference,Description,Value,Package/Footprint,Mount,Manufacturer,Manufacturer Part Number,LCSC,Datasheet,Quantity,Supplier Link,Notes
R1,Resistor,220Ω,THT,THT,Generic,,,,1,,"Q1 emitter load: one end +5V, other end to Q1 emitter/C2 node. Not both ends to +5V. Lowered from 300Ω for v2 to raise the drive current: at the assumed ~1.3V base, 300-330Ω supplies only ~6.2mA at peak white against the ~6.7mA the 150Ω load needs. 220Ω gives ~9.3mA and real headroom. Retune if the measured DC at J4.1 differs from ~1.3V. Spec: 220 ohm +/-5%, >=0.25 W, axial THT 7.62 mm pitch. No MPN - any equivalent."
R2,Resistor,330Ω,Axial THT DIN0207 P7.62mm,THT,Generic,,,,1,,"Series resistor between J4.1 (video in from NES) and Q1's base. Mirrors the 330Ω Nintendo places in the same position. Negligible signal loss against Q1's ~21kΩ base input impedance; limits fault current into the base-emitter junction, whose reverse rating is only 5V. New in v2. Spec: 330 ohm +/-5%, >=0.25 W, axial THT 7.62 mm pitch. No MPN - any equivalent."
R3,Resistor,5.1kΩ,THT,THT,Generic,,,,1,,"CC1 pulldown; measured 5.07kΩ. Spec: 5.1 kohm +/-5%, >=0.1 W, axial THT 7.62 mm pitch. No MPN - any equivalent."
R4,Resistor,5.1kΩ,THT,THT,Generic,,,,1,,"CC2 pulldown; measured 5.13kΩ. Spec: 5.1 kohm +/-5%, >=0.1 W, axial THT 7.62 mm pitch. No MPN - any equivalent."
R5,Resistor,75Ω,THT,THT,Generic,,,,1,,"Video series termination; populated on the fabbed v1 board. Spec: 75 ohm +/-1%, >=0.25 W, axial THT 7.62 mm pitch. No MPN - any equivalent."
R6,Resistor,22k,0805 SMD,SMD,UNI-ROYAL,0805W8F2202T5E,C17560,https://www.lcsc.com/datasheet/C17560.pdf,1,https://www.lcsc.com/product-detail/C17560.html,"Sets U1 current limit. I_OS = 25.9/R_ILIM(kohm) -> ~1.18A typ. Higher R = LOWER limit. Valid range 15k-232k. Spec: 22 kohm +/-1%, 0805 - keep the 1% tolerance, it sets the current limit. JLCPCB basic part."
R7,Resistor,75 Ohm,Axial THT DIN0207 P7.62mm,THT,Generic,,,,1,,"Series source termination for the mini-DIN RGB connector video pin (mirrors R5 for the RCA jack). Spec: 75 ohm +/-1%, >=0.25 W, axial THT 7.62 mm pitch. No MPN - any equivalent."
TP1-TP4,Test point (through-hole pad),,2.0mm pad / 1.0mm drill THT,-,Not a purchased part,,,,4,,"Not a purchased part — bare plated holes for bring-up (video, GND, +5V, audio). Optionally fit 0.64mm square header pins for scope grabbers."
U1,Current-limited power switch (eFuse),TPS2553DBVR,SOT-23-6 SMD,SMD,Texas Instruments,TPS2553DBVR,C55266,https://www.ti.com/lit/ds/symlink/tps2553.pdf,1,https://www.lcsc.com/product-detail/C55266.html,"Adjustable OCP between F1 and the 5V rail. EN (pin 3) active-high tied to IN. Auto-retry version (the -1 suffix is latch-off). FAULT (pin 4) left unconnected. Sourcing checked 2026-09-07: DigiKey 0 stock (all pack types), Mouser 0 stock with a 112-day factory lead. LCSC has 44,248 @ $0.298 - buy U1 from LCSC, and tell PCBWay to source it there rather than a Western distributor."
USB-C1,USB-C receptacle,USB4970-00-A,SMD,SMD,GCT,USB4970-00-A,,https://gct.co/files/drawings/usb4970.pdf,1,https://www.digikey.com/en/products/detail/gct/USB4970-00-A/28722813,"6-pin power-only (VBUS x2, GND x2, CC1, CC2); no data lines. Footprint: no KiCad USB4970 footprint exists. GCT's USB4970 drawing gives the same recommended land pattern as the USB4125 (pad centres 1.00/3.04/5.50 mm, shell holes 8.64 x 3.80 mm), verified 2026-08-28, so Connector_USB:USB_C_Receptacle_GCT_USB4125-xx-x is correct. Use the plain variant, not -0190: USB4970-00-A takes the 1.00 mm shell stake, -0190 is the 1.90 mm one. Sourcing checked 2026-09-07: DigiKey 5,956 cut-tape @ $0.32, tape-and-reel 4,000 @ MOQ 1,000. Not an LCSC part - this is the one SMD line PCBWay must buy in the West."
